popularity,liveness,valence,tempo,duration_ms,release_date,release_dates,release_dates
[39,0.315,0.962,127.041,194973,2019/11/20,"2019/11/20","2019/11/20"],
[55,0.0975,0.616,112.006,217651,2019/11/20,"2019/11/20","2019/11/20"],
[40,0.0932,0.81,120.04,222093,2019/11/20,"2019/11/20","2019/11/20"],
[40,0.396,0.755,179.995,206974,2019/11/20,"2019/11/20","2019/11/20"],
[41,0.302,0.695,119.972,201600,2019/11/20,"2019/11/20","2019/11/20"],
[37,0.0413,0.634,115.017,188840,2019/11/20,"2019/11/20","2019/11/20"],
[39,0.0397,0.888,204.112,181693,2019/11/20,"2019/11/20","2019/11/20"],
[37,0.0541,0.43,83.482,209467,2019/11/20,"2019/11/20","2019/11/20"],
[44,0.336,0.536,80.01,226173,2019/11/20,"2019/11/20","2019/11/20"],
[35,0.111,0.702,120.002,202540,2020/2/5,"2020/2/5","2020/2/5"],
[27,0.288,0.765,125.938,219625,2020/2/5,"2020/2/5","2020/2/5"],
[20,0.315,0.962,127.041,194973,2020/2/5,"2020/2/5","2020/2/5"],
[26,0.0975,0.616,112.006,217651,2020/2/5,"2020/2/5","2020/2/5"],
[29,0.0932,0.81,120.038,222093,2020/2/5,"2020/2/5","2020/2/5"],
[25,0.396,0.755,179.995,206974,2020/2/5,"2020/2/5","2020/2/5"],
[21,0.302,0.695,119.972,201600,2020/2/5,"2020/2/5","2020/2/5"],
[19,0.0413,0.634,115.017,188840,2020/2/5,"2020/2/5","2020/2/5"],
[24,0.0397,0.888,204.112,181693,2020/2/5,"2020/2/5","2020/2/5"],
[19,0.0541,0.43,83.482,209467,2020/2/5,"2020/2/5","2020/2/5"],
[23,0.336,0.536,80.01,226173,2020/2/5,"2020/2/5","2020/2/5"],
[42,0.111,0.702,120.002,202540,2020/2/5,"2020/2/5","2020/2/5"],
[38,0.288,0.765,125.938,219625,2020/2/5,"2020/2/5","2020/2/5"],
[33,0.315,0.962,127.041,194973,2020/2/5,"2020/2/5","2020/2/5"],
[39,0.0975,0.616,112.006,217651,2020/2/5,"2020/2/5","2020/2/5"],
[34,0.0932,0.81,120.038,222093,2020/2/5,"2020/2/5","2020/2/5"],
[34,0.396,0.755,179.995,206974,2020/2/5,"2020/2/5","2020/2/5"],
[34,0.302,0.695,119.972,201600,2020/2/5,"2020/2/5","2020/2/5"],
[31,0.0413,0.634,115.017,188840,2020/2/5,"2020/2/5","2020/2/5"],
[32,0.0397,0.888,204.112,181693,2020/2/5,"2020/2/5","2020/2/5"],
[31,0.0541,0.43,83.482,209467,2020/2/5,"2020/2/5","2020/2/5"],
[35,0.336,0.536,80.01,226173,2020/2/5,"2020/2/5","2020/2/5"],
