popularity,speechiness,acousticness,release_date,song_name
[32,0.054,0.212,2017,"MISSING U"],
[25,0.151,0.355,2017,"WOW"],
[26,0.0465,0.125,2017,"FFW"],
[25,0.0531,0.0557,2017,"DING DONG"],
[29,0.0728,0.0743,2017,"44766"],
[36,0.0389,0.146,2017,"LOOK AT ME"],
[29,0.0428,0.0402,2017,"ROLLIN'"],
[31,0.0437,0.251,2017,"LOVE LINE"],
[25,0.0456,0.0574,2017,"DON'T GIVE UP"],
[34,0.0331,0.286,2017,"YOU IN MY HEART"],
[30,0.0344,0.848,2017,"JALJAYO GOOD NIGHT"],
[28,0.0344,0.399,2017,"LIKEY"],
[17,0.137,0.542,2017,"����� / TURTLE"],
[8,0.0468,0.247,2017,"MISSING U"],
[6,0.14,0.373,2017,"WOW"],
[6,0.0452,0.127,2017,"FFW"],
[5,0.0486,0.0555,2017,"DING DONG"],
[7,0.0672,0.0772,2017,"44766"],
[9,0.0367,0.166,2017," ��라��라� / LOOK AT ME"],
[7,0.0444,0.0429,2017,"ROLLIN�"],
[6,0.0442,0.242,2017,"LOVE LINE"],
[5,0.0466,0.0615,2017,"_�내! (DON’T GIVE UP) / DON’T GIVE UP"],
[8,0.0327,0.31,2017," �� � / YOU IN MY HEART"],
[7,0.0333,0.84,2017,"�자 ���잇 / JALJAYO GOOD NIGHT"],
[68,0.033,0.413,2017,"Likey"],
[52,0.135,0.553,2017,"Turtle"],
[45,0.0475,0.215,2017,"Missing U"],
[39,0.157,0.355,2017,"Wow"],
[40,0.045,0.14,2017,"Ffw"],
[39,0.0534,0.0581,2017,"Ding Dong"],
[43,0.0682,0.0741,2017,"44766"],
[47,0.0365,0.156,2017,"Look At Me"],
[47,0.0446,0.0462,2017,"Rollin'"],
[45,0.0444,0.226,2017,"Love Line"],
[38,0.0474,0.0629,2017,"Don't Give Up"],
[44,0.0328,0.288,2017,"You In My Heart"],
[47,0.0331,0.845,2017,"Jaljayo Good Night"],
[38,0.0844,0.0525,2017,"TT"],
[31,0.232,0.12,2017,"1 TO 10"],
[24,0.0529,0.17,2017,"PONYTAIL"],
[30,0.124,0.111,2017,"JELLY JELLY"],
[26,0.127,0.114,2017,"PIT-A-PAT"],
[24,0.0448,0.0102,2017,"NEXT PAGE"],
[35,0.0324,0.146,2017,"ONE IN A MILLION"],
[51,0.131,0.0242,2017,"KNOCK KNOCK"],
[35,0.0366,0.475,2017,"Ice Cream"],
[51,0.0844,0.0525,2017,"TT"],
[39,0.232,0.12,2017,"1 TO 10"],
[25,0.0529,0.17,2017,"PONYTAIL"],
[41,0.124,0.111,2017,"JELLY JELLY"],
[30,0.127,0.114,2017,"PIT-A-PAT"],
[27,0.0448,0.0102,2017,"NEXT PAGE"],
[44,0.0324,0.146,2017,"ONE IN A MILLION"],
[61,0.131,0.0243,2017,"Knock Knock"],
[50,0.0369,0.451,2017,"Ice Cream"],
[47,0.0891,0.0463,2017,"TT"],
[36,0.225,0.133,2017,"1 To 10"],
[30,0.055,0.164,2017,"Ponytail"],
[33,0.0794,0.105,2017,"Jelly Jelly"],
[31,0.168,0.125,2017,"Pit-a-Pat"],
[31,0.0571,0.00871,2017,"Next Page"],
[37,0.033,0.149,2017,"One In A Million"],
[68,0.0851,0.0525,2016,"TT"],
[50,0.271,0.109,2016,"1 To 10"],
[39,0.0559,0.186,2016,"Ponytail"],
[47,0.13,0.115,2016,"Jelly Jelly"],
[40,0.144,0.124,2016,"Pit-a-Pat"],
[41,0.0463,0.00995,2016,"Next Page"],
[53,0.0338,0.158,2016,"One In A Million"],
[47,0.125,0.138,2022,"Talk that Talk"],
[26,0.108,0.106,2022,"Queen of Hearts"],
[26,0.218,0.251,2022,"Basics"],
[22,0.127,0.0516,2022,"Trouble"],
[23,0.0478,0.078,2022,"Brave"],
[21,0.0741,0.329,2022,"Gone"],
[22,0.0811,0.346,2022,"When We Were Kids"],
[66,0.0573,0.0628,2022,"Celebrate"],
[56,0.0785,0.0472,2022,"Just be yourself"],
[53,0.0754,0.0989,2022,"I CAN'T STOP ME - Japanese ver."],
[52,0.0411,0.0482,2022,"CRY FOR ME - Japanese ver."],
[52,0.0553,0.0336,2022,"Alcohol-Free - Japanese ver."],
[50,0.0597,0.0459,2022,"SCIENTIST - Japanese ver."],
[45,0.0597,0.0459,2022,"SCIENTIST - Japanese ver."],
[11,0.0624,0.0371,2022,"The Feels (Benny Benassi Remix)"],
[14,0.0729,0.0899,2022,"The Feels"],
[1,0.147,0.0832,2022,"The Feels (The Stereotypes Remix)"],
[1,0.0678,0.00771,2022,"The Feels (YVES V Remix)"],
[1,0.041,0.000394,2022,"The Feels (Instrumental)"],
[1,0.0693,0.01,2022,"The Feels (Benny Benassi Remix Extended)"],
[0,0.0465,0.00269,2022,"The Feels (The Stereotypes Remix Instrumental)"],
[1,0.0383,0.000238,2022,"The Feels (YVES V Remix Instrumental)"],
[1,0.0379,0.0309,2022,"The Feels (Benny Benassi Remix Instrumental)"],
[53,0.0315,0.233,2021,"Doughnut"],
