popularity,danceability,energy,speechiness,acousticness,liveness,valence,release_date,song_name
[36,0.782,0.831,0.0624,0.144,0.0694,0.788,2018,"CHILLAX""]"
[29,0.671,0.852,0.0439,0.0747,0.524,0.245,2018,"Shot thru the heart""]"
[59,0.573,0.91,0.064,0.0846,0.266,0.602,2018,"What is Love?""]"
[35,0.673,0.967,0.062,0.0817,0.133,0.826,2018,"SWEET TALKER""]"
[31,0.765,0.891,0.1,0.0898,0.018,0.977,2018,"HO!""]"
[26,0.65,0.787,0.0524,0.0135,0.109,0.526,2018,"DEJAVU""]"
[31,0.625,0.68,0.0784,0.233,0.226,0.399,2018,"SAY YES""]"
[34,0.563,0.806,0.05,0.0494,0.181,0.626,2018,"STUCK""]"
[69,0.709,0.861,0.0941,0.106,0.113,0.779,2018,"Dance The Night Away""]"
[49,0.786,0.832,0.0592,0.134,0.0575,0.741,2018,"CHILLAX""]"
[44,0.669,0.847,0.0413,0.0775,0.594,0.263,2018,"Shot Thru The Heart""]"
[76,0.574,0.909,0.0658,0.0987,0.264,0.569,2018,"What is Love""]"
[45,0.677,0.97,0.0653,0.0695,0.153,0.798,2018,"SWEET TALKER""]"
[45,0.766,0.895,0.0979,0.105,0.0242,0.974,2018,"HO!""]"
[41,0.637,0.793,0.0649,0.0129,0.0895,0.509,2018,"DEJAVU""]"
[45,0.634,0.673,0.0785,0.238,0.226,0.366,2018,"SAY YES""]"
[47,0.564,0.795,0.0537,0.0544,0.142,0.573,2018,"STUCK""]"
[54,0.563,0.945,0.0635,0.0949,0.216,0.865,2017,"Heart Shaker""]"
[54,0.709,0.62,0.0387,0.425,0.0822,0.658,2017,"Merry & Happy""]"
[31,0.723,0.898,0.0354,0.431,0.136,0.394,2017,"LIKEY""]"
[28,0.729,0.804,0.135,0.553,0.15,0.609,2017,"TURTLE""]"
[25,0.805,0.702,0.054,0.212,0.112,0.833,2017,"MISSING U""]"
[21,0.776,0.915,0.151,0.355,0.0537,0.909,2017,"WOW""]"
[22,0.71,0.946,0.0465,0.125,0.282,0.895,2017,"FFW""]"
[21,0.658,0.879,0.0531,0.0557,0.233,0.824,2017,"DING DONG""]"
[23,0.879,0.766,0.0728,0.0743,0.401,0.558,2017,"44766""]"
[24,0.72,0.909,0.0389,0.146,0.0675,0.662,2017,"LOOK AT ME""]"
[21,0.886,0.62,0.0428,0.0402,0.273,0.272,2017,"ROLLIN'""]"
[21,0.696,0.784,0.0437,0.251,0.11,0.542,2017,"LOVE LINE""]"
[20,0.838,0.658,0.0456,0.0574,0.124,0.414,2017,"DON'T GIVE UP""]"
[25,0.692,0.867,0.0331,0.286,0.109,0.382,2017,"YOU IN MY HEART""]"
[23,0.721,0.396,0.0344,0.848,0.0911,0.359,2017,"JALJAYO GOOD NIGHT""]"
[65,0.564,0.944,0.0647,0.105,0.154,0.857,2017,"Heart Shaker""]"
[56,0.716,0.63,0.0377,0.403,0.0817,0.666,2017,"Merry & Happy""]"
[44,0.72,0.904,0.0332,0.437,0.117,0.428,2017,"Likey""]"
[37,0.729,0.808,0.135,0.523,0.16,0.623,2017,"Turtle""]"
[35,0.808,0.71,0.0482,0.22,0.112,0.849,2017,"Missing U""]"
[32,0.775,0.914,0.149,0.355,0.0547,0.922,2017,"Wow""]"
[32,0.711,0.949,0.0431,0.126,0.296,0.928,2017,"Ffw""]"
[31,0.661,0.881,0.051,0.0525,0.224,0.801,2017,"Ding Dong""]"
[33,0.877,0.744,0.0705,0.0678,0.387,0.548,2017,"44766""]"
[33,0.719,0.913,0.0386,0.165,0.0687,0.635,2017,"Look At Me""]"
[35,0.883,0.638,0.044,0.0512,0.279,0.263,2017,"Rollin'""]"
[33,0.692,0.761,0.0456,0.269,0.105,0.495,2017,"Love Line""]"
[30,0.828,0.663,0.0477,0.0592,0.155,0.465,2017,"Don't Give Up""]"
[33,0.689,0.858,0.0331,0.291,0.109,0.421,2017,"You In My Heart""]"
[37,0.723,0.392,0.0333,0.851,0.0961,0.361,2017,"Jaljayo Good Night""]"
[31,0.565,0.945,0.064,0.0967,0.177,0.841,2017,"Heart Shaker""]"
[34,0.709,0.62,0.0387,0.425,0.0822,0.658,2017,"Merry & Happy""]"
[11,0.717,0.91,0.0344,0.399,0.129,0.437,2017,"LIKEY""]"
[9,0.726,0.817,0.137,0.542,0.135,0.596,2017,"����� / TURTLE""]"
[4,0.806,0.724,0.0468,0.247,0.113,0.855,2017,"MISSING U""]"
[5,0.775,0.921,0.14,0.373,0.0534,0.921,2017,"WOW""]"
[4,0.705,0.947,0.0452,0.127,0.295,0.906,2017,"FFW""]"
[3,0.662,0.88,0.0486,0.0555,0.126,0.823,2017,"DING DONG""]"
[4,0.876,0.765,0.0672,0.0772,0.385,0.536,2017,"44766""]"
[4,0.719,0.914,0.0367,0.166,0.0638,0.631,2017," ��라��라� / LOOK AT ME""]"
[4,0.887,0.649,0.0444,0.0429,0.279,0.245,2017,"ROLLIN�""]"
[3,0.696,0.771,0.0442,0.242,0.108,0.504,2017,"LOVE LINE""]"
[3,0.84,0.679,0.0466,0.0615,0.121,0.422,2017,"_�내! (DON’T GIVE UP) / DON’T GIVE UP""]"
[3,0.686,0.865,0.0327,0.31,0.109,0.406,2017," �� � / YOU IN MY HEART""]"
[3,0.718,0.401,0.0333,0.84,0.0969,0.376,2017,"�자 ���잇 / JALJAYO GOOD NIGHT""]"
[52,0.723,0.898,0.0354,0.431,0.136,0.394,2017,"LIKEY""]"
[41,0.729,0.804,0.135,0.553,0.15,0.609,2017,"TURTLE""]"
[32,0.805,0.702,0.054,0.212,0.112,0.833,2017,"MISSING U""]"
[25,0.776,0.915,0.151,0.355,0.0537,0.909,2017,"WOW""]"
